epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1668,2.58826,4.1252,1.89076,0.01406,0.61807,0.09628,0.02456,2.18684,4.36063,1.40942,0.00032,0.00032,0.00032
2,11.9514,1.48185,2.21899,1.16427,0.018,0.70284,0.19387,0.06472,1.60757,3.75169,1.10458,0.000643565,0.000643565,0.000643565
3,17.5732,1.31982,1.66234,1.12297,0.93894,0.08622,0.49172,0.22756,1.87051,3.23063,1.29338,0.000960596,0.000960596,0.000960596
4,23.2177,1.23302,1.39704,1.09837,0.6888,0.63122,0.68819,0.44222,1.29055,2.02353,1.04657,0.0009703,0.0009703,0.0009703
5,29.1969,1.18606,1.26466,1.07772,0.81065,0.7616,0.85045,0.43721,1.62373,1.43621,1.14905,0.0009604,0.0009604,0.0009604
6,34.8007,1.15037,1.19207,1.06925,0.76842,0.746,0.84985,0.54779,1.24694,1.3766,1.03016,0.0009505,0.0009505,0.0009505
7,40.3642,1.13215,1.09221,1.05721,0.7611,0.79264,0.83807,0.46647,1.53434,1.39431,1.13148,0.0009406,0.0009406,0.0009406
8,46.0034,1.13254,1.05506,1.05875,0.77814,0.73806,0.84886,0.50174,1.41318,1.38488,1.08693,0.0009307,0.0009307,0.0009307
9,51.4667,1.07973,0.98342,1.04411,0.79502,0.8095,0.86673,0.56218,1.18697,1.12674,0.98862,0.0009208,0.0009208,0.0009208
10,57.0822,1.05321,0.95043,1.03444,0.83197,0.73147,0.83924,0.57822,1.1454,1.25698,1.02897,0.0009109,0.0009109,0.0009109
11,62.6102,1.04127,0.90818,1.03259,0.85597,0.83981,0.90916,0.63584,1.0595,1.08417,0.97894,0.000901,0.000901,0.000901
12,68.4013,1.00745,0.87946,1.02158,0.78919,0.74789,0.82108,0.54037,1.226,1.58259,1.06571,0.0008911,0.0008911,0.0008911
13,73.9308,1.03367,0.85888,1.02626,0.87122,0.84525,0.91613,0.62847,1.12679,0.94385,0.99617,0.0008812,0.0008812,0.0008812
14,79.6542,1.02915,0.84588,1.03141,0.88339,0.8632,0.93434,0.65553,1.03114,0.83088,0.95556,0.0008713,0.0008713,0.0008713
15,85.1737,1.00377,0.79802,1.01313,0.83356,0.84397,0.91514,0.63625,1.0722,0.97039,0.98376,0.0008614,0.0008614,0.0008614
16,90.7442,1.00199,0.80456,1.01618,0.88584,0.86384,0.92925,0.49561,1.67663,0.89621,1.14125,0.0008515,0.0008515,0.0008515
17,96.3553,1.05206,0.7917,1.03265,0.89735,0.87003,0.92759,0.64489,1.06574,0.8722,0.97102,0.0008416,0.0008416,0.0008416
18,101.928,1.01975,0.76635,1.02316,0.90844,0.8606,0.94645,0.63674,1.1305,0.76409,0.97417,0.0008317,0.0008317,0.0008317
19,107.526,0.99728,0.74691,1.01495,0.85612,0.87543,0.9245,0.66047,1.03583,0.84094,0.96553,0.0008218,0.0008218,0.0008218
20,113.238,0.97848,0.73948,1.00932,0.90232,0.90259,0.9463,0.62141,1.25333,0.80095,1.01905,0.0008119,0.0008119,0.0008119
21,118.835,0.96915,0.74017,1.01139,0.88556,0.87402,0.93887,0.6553,1.03327,0.82837,0.96463,0.000802,0.000802,0.000802
22,124.43,0.96564,0.72477,1.00695,0.90643,0.88212,0.93495,0.55292,1.44355,0.83229,1.06246,0.0007921,0.0007921,0.0007921
