epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4194,2.48555,4.05217,1.66527,0.02828,0.83218,0.15137,0.05895,1.39956,4.08829,0.983,0.00032,0.00032,0.00032
2,27.304,1.0785,1.62786,0.96622,0.01991,0.7686,0.2937,0.17639,1.06038,3.51151,0.93827,0.000643565,0.000643565,0.000643565
3,32.5942,0.94325,1.08475,0.93559,0.83629,0.27781,0.6928,0.49785,0.96382,2.57719,0.95508,0.000960596,0.000960596,0.000960596
4,37.9006,0.80481,0.85107,0.89868,0.79334,0.76487,0.84936,0.65154,0.86547,1.53966,0.93997,0.0009703,0.0009703,0.0009703
5,43.2187,0.75458,0.73051,0.88377,0.85776,0.85116,0.90926,0.71216,0.81058,1.0737,0.91248,0.0009604,0.0009604,0.0009604
6,48.4954,0.716,0.64008,0.86863,0.87619,0.81988,0.90087,0.70718,0.7899,1.00712,0.917,0.0009505,0.0009505,0.0009505
7,53.7096,0.66555,0.59864,0.85768,0.86159,0.85057,0.90955,0.71167,0.80893,0.94818,0.91973,0.0009406,0.0009406,0.0009406
8,58.933,0.61574,0.54115,0.8439,0.87262,0.85574,0.91258,0.7187,0.77062,0.83415,0.92118,0.0009307,0.0009307,0.0009307
9,64.1106,0.5879,0.51192,0.83589,0.8696,0.86829,0.92525,0.73396,0.74962,0.78357,0.91873,0.0009208,0.0009208,0.0009208
10,69.37,0.55665,0.48875,0.82669,0.89312,0.88023,0.93088,0.7413,0.74338,0.73362,0.91288,0.0009109,0.0009109,0.0009109
11,74.6392,0.54197,0.45815,0.82118,0.87387,0.88059,0.93386,0.74122,0.73228,0.7252,0.92143,0.000901,0.000901,0.000901
12,79.8827,0.50119,0.42533,0.81111,0.90524,0.88554,0.92638,0.72932,0.77064,0.69249,0.92389,0.0008911,0.0008911,0.0008911
13,85.1223,0.4997,0.413,0.80897,0.90998,0.88909,0.93333,0.73982,0.74024,0.67471,0.91665,0.0008812,0.0008812,0.0008812
14,90.4643,0.46754,0.39315,0.80021,0.89828,0.88234,0.93266,0.73852,0.75493,0.66026,0.93225,0.0008713,0.0008713,0.0008713
15,95.692,0.44666,0.37587,0.79509,0.86796,0.88251,0.91573,0.73372,0.73169,0.6709,0.92699,0.0008614,0.0008614,0.0008614
16,100.946,0.42761,0.36384,0.79088,0.88542,0.90622,0.93443,0.74292,0.72088,0.64577,0.91389,0.0008515,0.0008515,0.0008515
17,106.145,0.40921,0.34975,0.78599,0.8994,0.89905,0.93343,0.74549,0.7299,0.62105,0.92654,0.0008416,0.0008416,0.0008416
18,111.38,0.40959,0.33732,0.785,0.92235,0.89482,0.94421,0.75917,0.72065,0.59909,0.92641,0.0008317,0.0008317,0.0008317
19,116.577,0.37989,0.32071,0.77956,0.91126,0.8974,0.9386,0.74805,0.71619,0.60212,0.93445,0.0008218,0.0008218,0.0008218
20,121.807,0.36381,0.30979,0.77566,0.9242,0.88767,0.93783,0.73773,0.76165,0.60605,0.94551,0.0008119,0.0008119,0.0008119
21,127.076,0.36207,0.31013,0.77339,0.92069,0.88351,0.93736,0.7482,0.72301,0.60853,0.93666,0.000802,0.000802,0.000802
22,132.304,0.33477,0.2928,0.76852,0.93063,0.90638,0.94483,0.75609,0.71345,0.58363,0.9351,0.0007921,0.0007921,0.0007921
23,137.5,0.32226,0.28285,0.76629,0.93499,0.8933,0.94186,0.74969,0.71927,0.57341,0.9467,0.0007822,0.0007822,0.0007822
24,142.803,0.30641,0.27379,0.7642,0.92958,0.88985,0.9379,0.74885,0.72552,0.57366,0.9441,0.0007723,0.0007723,0.0007723
25,147.999,0.3107,0.27193,0.76362,0.91295,0.89602,0.93935,0.75113,0.71469,0.59563,0.94406,0.0007624,0.0007624,0.0007624
26,153.206,0.30797,0.26765,0.76273,0.91712,0.89032,0.93826,0.74611,0.72157,0.57407,0.95047,0.0007525,0.0007525,0.0007525
27,158.37,0.29251,0.25821,0.75986,0.91275,0.8861,0.93393,0.74837,0.709,0.58912,0.94025,0.0007426,0.0007426,0.0007426
28,163.585,0.28097,0.25164,0.75834,0.89482,0.90533,0.94243,0.75902,0.7046,0.55014,0.94621,0.0007327,0.0007327,0.0007327
29,168.787,0.27453,0.24981,0.75684,0.92317,0.88615,0.92959,0.74171,0.71369,0.55991,0.9545,0.0007228,0.0007228,0.0007228
30,173.981,0.27277,0.24614,0.75657,0.90665,0.90854,0.93956,0.7543,0.70166,0.55838,0.9418,0.0007129,0.0007129,0.0007129
31,179.198,0.25666,0.23738,0.75443,0.90355,0.90107,0.94276,0.75032,0.72571,0.56841,0.96362,0.000703,0.000703,0.000703
32,184.386,0.25372,0.23276,0.75437,0.91769,0.89999,0.94383,0.75658,0.70715,0.53926,0.95895,0.0006931,0.0006931,0.0006931
33,189.681,0.2468,0.22936,0.75308,0.92593,0.87267,0.93738,0.75132,0.7034,0.56644,0.9511,0.0006832,0.0006832,0.0006832
