epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32381,2.63252,5.5868,0.00826,0.01617,0.06547,0.00792,0.00224,1.43026,5.393,0.00472,0.00032,0.00032,0.00032
2,14.3448,1.53023,3.56608,0.00407,0.023,0.86431,0.25693,0.1183,1.3322,4.61071,0.00422,0.000643565,0.000643565,0.000643565
3,21.4157,1.41349,2.89595,0.00379,0.64475,0.16667,0.3759,0.15818,1.49638,4.01892,0.00468,0.000960596,0.000960596,0.000960596
4,28.2209,1.34172,2.3655,0.00347,0.44477,0.32426,0.35135,0.07999,2.25201,3.81075,0.007,0.0009703,0.0009703,0.0009703
5,34.9307,1.40518,2.1304,0.00371,0.43209,0.42446,0.39392,0.11008,2.04652,3.23549,0.00627,0.0009604,0.0009604,0.0009604
6,41.6646,1.29251,1.89029,0.00347,0.69164,0.67263,0.73196,0.46437,1.22516,1.89344,0.00403,0.0009505,0.0009505,0.0009505
7,48.3502,1.31621,1.74587,0.0034,0.6918,0.70691,0.75738,0.51418,1.05208,1.73766,0.0034,0.0009406,0.0009406,0.0009406
8,55.1976,1.20932,1.49473,0.00319,0.73632,0.73427,0.80244,0.5603,1.12266,1.45174,0.00361,0.0009307,0.0009307,0.0009307
9,61.9354,1.35855,1.40972,0.00348,0.73304,0.76828,0.81983,0.53094,1.1284,1.44127,0.0035,0.0009208,0.0009208,0.0009208
10,68.6515,1.2129,1.26487,0.0031,0.74626,0.70995,0.78022,0.3184,1.917,1.58961,0.00588,0.0009109,0.0009109,0.0009109
11,75.3567,1.20926,1.18494,0.00313,0.76675,0.7973,0.8625,0.59543,1.09102,1.10987,0.00339,0.000901,0.000901,0.000901
12,82.1325,1.18186,1.10166,0.00306,0.82533,0.80133,0.87827,0.53705,1.2769,1.08703,0.00391,0.0008911,0.0008911,0.0008911
13,88.9399,1.14537,1.0102,0.00295,0.82257,0.812,0.89229,0.63699,1.01972,0.93831,0.00324,0.0008812,0.0008812,0.0008812
14,95.6895,1.15326,0.98709,0.00305,0.82218,0.78061,0.88166,0.56229,1.20323,0.99996,0.00368,0.0008713,0.0008713,0.0008713
15,102.41,1.1965,0.94505,0.00305,0.8198,0.82195,0.90041,0.61406,1.08952,0.89091,0.00343,0.0008614,0.0008614,0.0008614
16,109.12,1.13195,0.90851,0.00289,0.86347,0.82701,0.91739,0.60625,1.11656,0.80533,0.00342,0.0008515,0.0008515,0.0008515
17,115.763,1.1538,0.88428,0.00299,0.80778,0.77549,0.83415,0.2822,2.22941,1.22704,0.00684,0.0008416,0.0008416,0.0008416
18,122.461,1.14175,0.86022,0.00293,0.84898,0.8203,0.89425,0.41633,1.76009,1.06519,0.00541,0.0008317,0.0008317,0.0008317
19,129.214,1.10662,0.82987,0.00284,0.87095,0.83563,0.92334,0.50373,1.53959,0.86179,0.00474,0.0008218,0.0008218,0.0008218
20,135.929,1.13974,0.80787,0.00291,0.8756,0.86858,0.93581,0.65035,1.08737,0.67893,0.00341,0.0008119,0.0008119,0.0008119
21,142.655,1.11368,0.77529,0.00293,0.87672,0.87774,0.93481,0.6408,1.12291,0.6857,0.00354,0.000802,0.000802,0.000802
22,149.435,1.11092,0.75908,0.00281,0.85944,0.82817,0.90498,0.42733,1.77844,0.962,0.00545,0.0007921,0.0007921,0.0007921
23,156.15,1.08302,0.73638,0.00276,0.90077,0.87673,0.94296,0.62786,1.191,0.63279,0.0039,0.0007822,0.0007822,0.0007822
24,162.899,1.1398,0.75634,0.00295,0.90338,0.83396,0.9203,0.42703,1.8163,0.82192,0.00551,0.0007723,0.0007723,0.0007723
